36301
#term	doc freq	idx
0	29	0
0.08	2	1
0.13	1	2
0.147	2	3
0.5	2	4
00	566	5
007	4	6
01	76	7
018	4	8
02	74	9
03	62	10
04	63	11
05	80	12
06	62	13
07	63	14
08	69	15
09	68	16
1	1112	17
1,000	5	18
1,100	3	19
1,200	1	20
1,205	1	21
1,300	1	22
1,491	1	23
1,500	4	24
1,573	1	25
1,600	1	26
1,851	1	27
1.0	2	28
1.1	8	29
1.12	1	30
1.2	7	31
1.3	18	32
1.4	5	33
1.5	2	34
1.6	2	35
1.75	1	36
1.8	1	37
1.88	2	38
1.9	2	39
10	1476	40
10,000	45	41
10,450	1	42
10,825,000	4	43
10.1	1	44
10.3	1	45
10.5	1	46
10.8	4	47
100	177	48
100,000	26	49
100,000,000	1	50
1000	3	51
100m	7	52
100th	447	53
101	34	54
102,000	1	55
104	2	56
105	3	57
106	4	58
106.4	1	59
108	5	60
108,000	2	61
1081st	14	62
10c	1	63
10km	1	64
10pm	614	65
10s	4	66
10th	4	67
11	1104	68
11,500	2	69
11.5	9	70
11.6	6	71
11.9	1	72
110	7	73
110,000	2	74
111	7	75
111,186	1	76
111.3	1	77
113	2	78
113,000	2	79
115	5	80
116	5	81
116.9	2	82
118	5	83
119	1	84
119,000	1	85
11am	3	86
11th	6	87
12	2505	88
12,000	5	89
12,233	1	90
12,500	4	91
12.1	3	92
12.2	1	93
12.3	1	94
12.4	1	95
12.5	3	96
12.7	7	97
12.8	1	98
12.9	8	99
12.99	1	100
120	31	101
1200s	1	102
121	5	103
121212	2	104
123	1	105
1237	1	106
125	3	107
126.3	1	108
127	5	109
128,000	1	110
12c	3	111
12k	4	112
12th	4	113
13	433	114
13,000	1	115
13.2	5	116
13.4	1	117
13.7	2	118
130	1	119
130,000	1	120
131	3	121
132	6	122
132.8	2	123
136,000	1	124
137,500.00	1	125
137th	2	126
138,412	3	127
13th	15	128
14	638	129
14,000	1	130
14,500	1	131
14.1	1	132
14.6	1	133
14.8	1	134
140	15	135
141.3	2	136
1415	2	137
144,663	8	138
145	2	139
149	2	140
14wl4sq	2	141
15	373	142
15,000	12	143
15,621	3	144
15.1	1	145
15.2	2	146
15.3	1	147
15.4	4	148
15.9	1	149
150	19	150
150,000	9	151
150.2	1	152
1500	2	153
152,000	1	154
154.3	1	155
155	1	156
155,000	1	157
156	2	158
158,000	2	159
15k	1	160
15th	32	161
16	285	162
16.1	1	163
160,000	8	164
1600	2	165
1600m	1	166
1619	2	167
162,000	1	168
163	1	169
163,090	2	170
165	17	171
169	1	172
16th	14	173
17	279	174
17.5	1	175
17.9	1	176
170	1	177
1701	4	178
1765	1	179
178,000	1	180
178.5	1	181
17th	7	182
18	262	183
18.2	5	184
18.5	1	185
18.7	2	186
180	22	187
1800	1	188
181	13	189
182	1	190
1832	3	191
1880	1	192
18th	6	193
19	342	194
19.99	1	195
1901	3	196
1902	2	197
1909	2	198
1912	1	199
1915	2	200
1916	2	201
1918	1	202
1920s	7	203
1923	1	204
1927	3	205
1928	2	206
1929	1	207
1930s	1	208
1931	1	209
1932	1	210
1933	1	211
1936	2	212
1937	2	213
1939	5	214
194	12	215
1940s	2	216
1942	6	217
1943	1	218
1944	2	219
1945	9	220
1947	9	221
1948	1	222
195,342	4	223
1950	2	224
1950s	13	225
1952	2	226
1953	1	227
1954	1	228
1955	1	229
1957	3	230
1958	1	231
1959	5	232
1960s	20	233
1961	4	234
1963	10	235
1964	6	236
1965	6	237
1966	2	238
1967	12	239
1968	10	240
1969	3	241
1970	7	242
1970s	13	243
1971	3	244
1972	3	245
1973	6	246
1974	13	247
1975	6	248
1976	13	249
1977	7	250
1978	2	251
1979	4	252
1979pinktransam	1	253
1980	4	254
1980s	10	255
1981	25	256
1982	3	257
1983	1	258
1984	8	259
1985	17	260
1986	11	261
1987	10	262
1988	14	263
1989	7	264
1990	10	265
1990s	5	266
1991	5	267
1992	12	268
1993	12	269
1994	15	270
1995	13	271
1996	14	272
1997	29	273
1998	8	274
1999	22	275
19th	12	276
1d	20	277
1d3d	9	278
1oak	4	279
1st	36	280
2	1561	281
2,000	10	282
2,008	1	283
2,199	1	284
2,200	3	285
2,475	1	286
2,500	14	287
2,571	1	288
2,700	9	289
2.0	9	290
2.1	5	291
2.2	7	292
2.3	2	293
2.4	8	294
2.45	1	295
2.5	4	296
2.6	2	297
2.78	1	298
2.8	8	299
2.9	1	300
20	436	301
20,000	4	302
20.1	1	303
20.18	1	304
20.5	1	305
200	64	306
200,000	23	307
2000	22	308
2000s	14	309
2001	21	310
2002	23	311
2003	34	312
2004	33	313
2005	30	314
2006	42	315
2007	57	316
2008	146	317
2009	243	318
200th	9	319
201	3	320
2010	364	321
2011	865	322
2012	1674	323
2013	7532	324
2014	73	325
2015	25	326
2016	10	327
2028	1	328
204	3	329
2046	3	330
205,000	1	331
206	1	332
2069	1	333
208	7	334
209	1	335
20s	19	336
20th	40	337
21	280	338
21.1	7	339
21.18	2	340
21.5	2	341
21.88	1	342
210	1	343
212	2	344
213.9	1	345
21322	3	346
215	1	347
215.2	1	348
21at	4	349
21h	1	350
21st	26	351
22	292	352
22,500	2	353
